Date,Cash,MCT,DBS,STEng,SIA,SIA_Relative
25/4/2014,1,0.946897,14.106085,3.378124,9.015468,0.996161194
28/4/2014,1,0.950615,14.038911,3.292166,8.902557,0.987475858
29/4/2014,1,0.946716,14.139672,3.309358,8.989409,1.009755849
30/4/2014,1,0.95426,14.223636,3.283571,9.015468,1.002898856
2/5/2014,1,0.969342,14.416756,3.317954,9.076264,1.006743521
5/5/2014,1,0.969342,14.416756,3.300762,8.945983,0.985645966
6/5/2014,1,0.969342,14.383168,3.309358,8.937299,0.999029285
7/5/2014,1,0.973118,14.290809,3.300762,8.928613,0.999028118
8/5/2014,1,0.988207,14.315995,3.317954,8.902557,0.997081742
9/5/2014,1,0.99952,14.341183,3.300762,8.867814,0.996097413
12/5/2014,1,0.988207,14.230079,3.257784,8.85913,0.999020728
14/5/2014,1,0.991975,14.366823,3.283571,8.89387,1.003921378
15/5/2014,1,1.003288,14.409557,3.274975,8.902557,1.00097674
16/5/2014,1,1.003288,14.401013,3.240592,8.867814,0.996097413
19/5/2014,1,1.010832,14.401013,3.249188,8.919927,1.005876646
20/5/2014,1,1.003288,14.392468,3.249188,8.850445,0.992210474
21/5/2014,1,0.99952,14.52921,3.249188,8.945983,1.010794711
22/5/2014,1,1.007064,14.495024,3.249188,8.928613,0.998058346
23/5/2014,1,1.003288,14.520664,3.266379,8.954671,1.002918482
26/5/2014,1,1.007064,14.512118,3.266379,8.945983,0.99902978
27/5/2014,1,1.003288,14.418105,3.274975,8.989409,1.004854246
28/5/2014,1,1.010832,14.409557,3.257784,8.980726,0.999034086
29/5/2014,1,1.007064,14.512118,3.292166,9.058894,1.008703973
30/5/2014,1,1.014608,14.443746,3.32655,9.041524,0.998082547
2/6/2014,1,0.99952,14.460839,3.317954,9.093637,1.005763741
3/6/2014,1,0.988207,14.512118,3.300762,9.093637,1
4/6/2014,1,0.969342,14.520664,3.309358,9.102322,1.000955063
5/6/2014,1,0.976886,14.546307,3.335145,9.084951,0.998091586
6/6/2014,1,0.969342,14.597583,3.352337,9.137063,1.005736079
9/6/2014,1,0.965573,14.589037,3.378124,9.171805,1.003802316
10/6/2014,1,0.969342,14.571943,3.352337,9.189175,1.001893848
11/6/2014,1,0.976886,14.554851,3.369528,9.215232,1.002835619
12/6/2014,1,0.991975,14.580489,3.343741,9.223919,1.000942678
13/6/2014,1,0.988207,14.640317,3.352337,9.041524,0.980225867
16/6/2014,1,0.980662,14.614676,3.343741,9.093637,1.005763741
17/6/2014,1,0.984431,14.563397,3.317954,9.076264,0.998089543
18/6/2014,1,0.995743,14.580489,3.309358,9.015468,0.993301649
19/6/2014,1,0.99952,14.597583,3.300762,9.06758,1.005780288
20/6/2014,1,1.018377,14.452291,3.300762,9.041524,0.997126466
23/6/2014,1,1.014608,14.435197,3.292166,9.041524,1
24/6/2014,1,1.018377,14.401013,3.309358,9.024154,0.998078864
25/6/2014,1,1.014608,14.324093,3.292166,8.989409,0.996149778
26/6/2014,1,1.025921,14.409557,3.300762,8.998096,1.000966359
27/6/2014,1,1.025921,14.366823,3.292166,9.015468,1.001930631
30/6/2014,1,1.033466,14.315545,3.266379,9.006782,0.999036545
1/7/2014,1,1.022145,14.366823,3.266379,9.006782,1
2/7/2014,1,1.025921,14.435197,3.274975,9.111008,1.011571947
3/7/2014,1,1.02969,14.546307,3.274975,9.032837,0.991420159
4/7/2014,1,1.018377,14.597583,3.274975,9.015468,0.998077127
7/7/2014,1,1.025921,14.665956,3.300762,9.032837,1.001926578
8/7/2014,1,1.02969,14.589037,3.274975,9.024154,0.999038729
9/7/2014,1,1.022145,14.537756,3.266379,9.032837,1.000962195
10/7/2014,1,1.033466,14.50357,3.240592,9.024154,0.999038729
